has	prefers	count	total
Tunisia	Germany	0	
Tunisia	Iceland	0	
Tunisia	Poland	0	
Tunisia	Portugal	0	
Tunisia	Russia	0	
Tunisia	Serbia	0	
Tunisia	Spain	0	
Tunisia	Sweden	0	
Tunisia	Switzerland	0	
Tunisia	Costa Rica	0	
Tunisia	Mexico	0	
Tunisia	Panama	0	
Tunisia	Argentina	0	
Tunisia	Brazil	0	
Tunisia	Colombia	0	
Tunisia	Peru	0	
Tunisia	Uruguay	0	
Tunisia	Italy	0	
Tunisia	Netherlands	0	
Tunisia	Ukraine	0	
Australia	Australia	4	4
Australia	Morocco	0	
Australia	Nigeria	0	
Australia	Senegal	0	
Australia	Tunisia	0	
Australia	Egypt	0	
Australia	Iran	0	
Australia	Japan	2	
Australia	South Korea	0	
Australia	Saudi Arabia	1	
Australia	Belgium	1	
Australia	Croatia	0	
Australia	Denmark	0	
Australia	England	8	
Australia	France	0	
Australia	Germany	2	
Australia	Iceland	0	
Australia	Poland	0	
Australia	Portugal	0	
Australia	Russia	0	
Australia	Serbia	0	
Australia	Spain	0	
Australia	Sweden	0	
Australia	Switzerland	2	
Australia	Costa Rica	0	
Australia	Mexico	0	
Australia	Panama	0	
Australia	Argentina	0	
Australia	Brazil	0	
Australia	Colombia	0	
Australia	Peru	0	
Australia	Uruguay	0	
Australia	Italy	0	
Australia	Netherlands	1	
Australia	Ukraine	0	
Iran	Iran	14	14
Iran	Morocco	0	
Iran	Nigeria	0	
Iran	Senegal	0	
Iran	Tunisia	0	
Iran	Australia	0	
Iran	Egypt	0	
Iran	Japan	0	
Iran	South Korea	0	
Iran	Saudi Arabia	0	
Iran	Belgium	2	
Iran	Croatia	0	
Iran	Denmark	0	
Iran	England	1	
Iran	France	0	
Iran	Germany	0	
Iran	Iceland	0	
Iran	Poland	0	
Iran	Portugal	1	
Iran	Russia	3	
Iran	Serbia	0	
Iran	Spain	0	
Iran	Sweden	1	
Iran	Switzerland	0	
Iran	Costa Rica	0	
Iran	Mexico	0	
Iran	Panama	0	
Iran	Argentina	0	
Iran	Brazil	0	
Iran	Colombia	0	
Iran	Peru	0	
Iran	Uruguay	0	
Iran	Italy	0	
Iran	Netherlands	2	
Iran	Ukraine	0	
Japan	Japan	14	20
Japan	Morocco	0	
Japan	Nigeria	0	
Japan	Senegal	0	
Japan	Tunisia	0	
Japan	Australia	0	
Japan	Iran	0	
Japan	Egypt	0	
Japan	South Korea	0	
Japan	Saudi Arabia	0	
Japan	Belgium	2	
Japan	Croatia	0	
Japan	Denmark	0	
Japan	England	0	
Japan	France	1	
Japan	Germany	5	
Japan	Iceland	0	
Japan	Poland	0	
Japan	Portugal	1	
Japan	Russia	0	
Japan	Serbia	0	
Japan	Spain	1	
Japan	Sweden	0	
Japan	Switzerland	0	
Japan	Costa Rica	0	
Japan	Mexico	1	
Japan	Panama	0	
Japan	Argentina	0	
Japan	Brazil	0	
Japan	Colombia	0	
Japan	Peru	0	
Japan	Uruguay	0	
Japan	Italy	0	
Japan	Netherlands	0	
Japan	Ukraine		
South Korea	South Korea	13	13
South Korea	Morocco	0	
South Korea	Nigeria	0	
South Korea	Senegal	0	
South Korea	Tunisia	0	
South Korea	Australia	0	
South Korea	Iran	0	
South Korea	Japan	4	
South Korea	Egypt	0	
South Korea	Saudi Arabia	0	
South Korea	Belgium	0	
South Korea	Croatia	0	
South Korea	Denmark	0	
South Korea	England	1	
South Korea	France	1	
South Korea	Germany	1	
South Korea	Iceland	0	
South Korea	Poland	0	
South Korea	Portugal	0	
South Korea	Russia	0	
South Korea	Serbia	0	
South Korea	Spain	0	
South Korea	Sweden	0	
South Korea	Switzerland	0	
South Korea	Costa Rica	0	
South Korea	Mexico	0	
South Korea	Panama	0	
South Korea	Argentina	0	
South Korea	Brazil	0	
South Korea	Colombia	0	
South Korea	Peru	0	
South Korea	Uruguay	0	
South Korea	Italy	0	
South Korea	Netherlands	0	
South Korea	Ukraine	0	
Saudi Arabia	Saudi Arabia	25	36
Saudi Arabia	Morocco	0	
Saudi Arabia	Nigeria	0	
Saudi Arabia	Senegal	0	
Saudi Arabia	Tunisia	0	
Saudi Arabia	Australia	0	
Saudi Arabia	Iran	0	
Saudi Arabia	Japan	0	
Saudi Arabia	South Korea	0	
Saudi Arabia	Egypt	0	
Saudi Arabia	Belgium	0	
Saudi Arabia	Croatia	0	
Saudi Arabia	Denmark	0	
Saudi Arabia	England	0	
Saudi Arabia	France	0	
Saudi Arabia	Germany	0	
Saudi Arabia	Iceland	0	
Saudi Arabia	Poland	0	
Saudi Arabia	Portugal	0	
Saudi Arabia	Russia	0	
Saudi Arabia	Serbia	0	
Saudi Arabia	Spain	3	
Saudi Arabia	Sweden	0	
Saudi Arabia	Switzerland	0	
Saudi Arabia	Costa Rica	0	
Saudi Arabia	Mexico	0	
Saudi Arabia	Panama	0	
Saudi Arabia	Argentina	0	
Saudi Arabia	Brazil	0	
Saudi Arabia	Colombia	0	
Saudi Arabia	Peru	0	
Saudi Arabia	Uruguay	0	
Saudi Arabia	Italy	0	
Saudi Arabia	Netherlands	0	
Saudi Arabia	Ukraine	0	
Belgium	Belgium	3	24
Belgium	Morocco	0	
Belgium	Nigeria	0	
Belgium	Senegal	0	
Belgium	Tunisia	0	
Belgium	Australia	0	
Belgium	Iran	0	
Belgium	Japan	0	
Belgium	South Korea	0	
Belgium	Saudi Arabia	0	
Belgium	Egypt	0	
Belgium	Croatia	0	
Belgium	Denmark	0	
Belgium	England	9	
Belgium	France	2	
Belgium	Germany	4	
Belgium	Iceland	0	
Belgium	Poland	0	
Belgium	Portugal	0	
Belgium	Russia	0	
Belgium	Serbia	0	
Belgium	Spain	1	
Belgium	Sweden	0	
Belgium	Switzerland	0	
Belgium	Costa Rica	0	
Belgium	Mexico	0	
Belgium	Panama	0	
Belgium	Argentina	0	
Belgium	Brazil	0	
Belgium	Colombia	0	
Belgium	Peru	0	
Belgium	Uruguay	0	
Belgium	Italy	2	
Belgium	Netherlands	0	
Belgium	Ukraine	0	
Croatia	Croatia	3	4
Croatia	Morocco	0	
Croatia	Nigeria	0	
Croatia	Senegal	0	
Croatia	Tunisia	0	
Croatia	Australia	0	
Croatia	Iran	0	
Croatia	Japan	0	
Croatia	South Korea	0	
Croatia	Saudi Arabia	0	
Croatia	Belgium	2	
Croatia	Egypt	0	
Croatia	Denmark	0	
Croatia	England	0	
Croatia	France	0	
Croatia	Germany	4	
Croatia	Iceland	0	
Croatia	Poland	0	
Croatia	Portugal	0	
Croatia	Russia	2	
Croatia	Serbia	0	
Croatia	Spain	3	
Croatia	Sweden	0	
Croatia	Switzerland	0	
Croatia	Costa Rica	0	
Croatia	Mexico	0	
Croatia	Panama	0	
Croatia	Argentina	0	
Croatia	Brazil	0	
Croatia	Colombia	0	
Croatia	Peru	0	
Croatia	Uruguay	0	
Croatia	Italy	3	
Croatia	Netherlands	0	
Croatia	Ukraine	1	
Denmark	Denmark	5	13
Denmark	Morocco	0	
Denmark	Nigeria	0	
Denmark	Senegal	0	
Denmark	Tunisia	0	
Denmark	Australia	0	
Denmark	Iran	0	
Denmark	Japan	0	
Denmark	South Korea	0	
Denmark	Saudi Arabia	0	
Denmark	Belgium	0	
Denmark	Croatia	0	
Denmark	Egypt	0	
Denmark	England	5	
Denmark	France	2	
Denmark	Germany	2	
Denmark	Iceland	0	
Denmark	Poland	0	
Denmark	Portugal	0	
Denmark	Russia	0	
Denmark	Serbia	0	
Denmark	Spain	3	
Denmark	Sweden	1	
Denmark	Switzerland	0	
Denmark	Costa Rica	0	
Denmark	Mexico	0	
Denmark	Panama	0	
Denmark	Argentina	0	
Denmark	Brazil	0	
Denmark	Colombia	0	
Denmark	Peru	0	
Denmark	Uruguay	0	
Denmark	Italy	2	
Denmark	Netherlands	2	
Denmark	Ukraine	0	
England	England	24	123
England	Morocco	0	
England	Nigeria	0	
England	Senegal	0	
England	Tunisia	0	
England	Australia	0	
England	Iran	0	
England	Japan	0	
England	South Korea	0	
England	Saudi Arabia	0	
England	Belgium	0	
England	Croatia	0	
England	Denmark	0	
England	Egypt	0	
England	France	0	
England	Germany	0	
England	Iceland	0	
England	Poland	0	
England	Portugal	0	
England	Russia	0	
England	Serbia	0	
England	Spain	0	
England	Sweden	0	
England	Switzerland	0	
England	Costa Rica	0	
England	Mexico	0	
England	Panama	0	
England	Argentina	0	
England	Brazil	0	
England	Colombia	0	
England	Peru	0	
England	Uruguay	0	
England	Italy	0	
England	Netherlands	0	
England	Ukraine	0	
France	France	7	53
France	Morocco	0	
France	Nigeria	0	
France	Senegal	0	
France	Tunisia	0	
France	Australia	0	
France	Iran	0	
France	Japan	0	
France	South Korea	0	
France	Saudi Arabia	0	
France	Belgium	0	
France	Croatia	0	
France	Denmark	0	
France	England	6	
France	Egypt	0	
France	Germany	2	
France	Iceland	0	
France	Poland	0	
France	Portugal	0	
France	Russia	0	
France	Serbia	0	
France	Spain	7	
France	Sweden	0	
France	Switzerland	0	
France	Costa Rica	0	
France	Mexico	0	
France	Panama	0	
France	Argentina	0	
France	Brazil	0	
France	Colombia	0	
France	Peru	0	
France	Uruguay	0	
France	Italy	1	
France	Netherlands	0	
France	Ukraine	0	
Germany	Germany	15	52
Germany	Morocco	0	
Germany	Nigeria	0	
Germany	Senegal	0	
Germany	Tunisia	0	
Germany	Australia	0	
Germany	Iran	0	
Germany	Japan	0	
Germany	South Korea	0	
Germany	Saudi Arabia	0	
Germany	Belgium	0	
Germany	Croatia	0	
Germany	Denmark	0	
Germany	England	3	
Germany	France	2	
Germany	Egypt	0	
Germany	Iceland	0	
Germany	Poland	0	
Germany	Portugal	0	
Germany	Russia	0	
Germany	Serbia	0	
Germany	Spain	2	
Germany	Sweden	0	
Germany	Switzerland	0	
Germany	Costa Rica	0	
Germany	Mexico	0	
Germany	Panama	0	
Germany	Argentina	0	
Germany	Brazil	0	
Germany	Colombia	0	
Germany	Peru	0	
Germany	Uruguay	0	
Germany	Italy	1	
Germany	Netherlands	0	
Germany	Ukraine	0	
Iceland	Iceland	1	1
Iceland	Morocco	0	
Iceland	Nigeria	0	
Iceland	Senegal	0	
Iceland	Tunisia	0	
Iceland	Australia	0	
Iceland	Iran	0	
Iceland	Japan	0	
Iceland	South Korea	0	
Iceland	Saudi Arabia	0	
Iceland	Belgium	1	
Iceland	Croatia	0	
Iceland	Denmark	5	
Iceland	England	4	
Iceland	France	0	
Iceland	Germany	0	
Iceland	Egypt	0	
Iceland	Poland	0	
Iceland	Portugal	0	
Iceland	Russia	3	
Iceland	Serbia	0	
Iceland	Spain	0	
Iceland	Sweden	2	
Iceland	Switzerland	0	
Iceland	Costa Rica	0	
Iceland	Mexico	0	
Iceland	Panama	0	
Iceland	Argentina	0	
Iceland	Brazil	0	
Iceland	Colombia	0	
Iceland	Peru	0	
Iceland	Uruguay	0	
Iceland	Italy	1	
Iceland	Netherlands	2	
Iceland	Ukraine	0	
Poland	Poland	8	8
Poland	Morocco	0	
Poland	Nigeria	0	
Poland	Senegal	0	
Poland	Tunisia	0	
Poland	Australia	0	
Poland	Iran	0	
Poland	Japan	0	
Poland	South Korea	0	
Poland	Saudi Arabia	0	
Poland	Belgium	1	
Poland	Croatia	0	
Poland	Denmark	0	
Poland	England	3	
Poland	France	1	
Poland	Germany	3	
Poland	Iceland	0	
Poland	Egypt	0	
Poland	Portugal	0	
Poland	Russia	1	
Poland	Serbia	0	
Poland	Spain	0	
Poland	Sweden	0	
Poland	Switzerland	0	
Poland	Costa Rica	0	
Poland	Mexico	0	
Poland	Panama	0	
Poland	Argentina	0	
Poland	Brazil	0	
Poland	Colombia	0	
Poland	Peru	0	
Poland	Uruguay	0	
Poland	Italy	9	
Poland	Netherlands	0	
Poland	Ukraine	1	
Portugal	Portugal	4	18
Portugal	Morocco	0	
Portugal	Nigeria	0	
Portugal	Senegal	0	
Portugal	Tunisia	0	
Portugal	Australia	0	
Portugal	Iran	0	
Portugal	Japan	0	
Portugal	South Korea	0	
Portugal	Saudi Arabia	0	
Portugal	Belgium	0	
Portugal	Croatia	0	
Portugal	Denmark	0	
Portugal	England	5	
Portugal	France	3	
Portugal	Germany	1	
Portugal	Iceland	0	
Portugal	Poland	0	
Portugal	Egypt	0	
Portugal	Russia	1	
Portugal	Serbia	0	
Portugal	Spain	3	
Portugal	Sweden	0	
Portugal	Switzerland	0	
Portugal	Costa Rica	0	
Portugal	Mexico	0	
Portugal	Panama	0	
Portugal	Argentina	0	
Portugal	Brazil	0	
Portugal	Colombia	0	
Portugal	Peru	0	
Portugal	Uruguay	0	
Portugal	Italy	3	
Portugal	Netherlands	0	
Portugal	Ukraine	0	
Russia	Russia	25	43
Russia	Morocco	0	
Russia	Nigeria	0	
Russia	Senegal	0	
Russia	Tunisia	0	
Russia	Australia	0	
Russia	Iran	0	
Russia	Japan	0	
Russia	South Korea	0	
Russia	Saudi Arabia	0	
Russia	Belgium	1	
Russia	Croatia	0	
Russia	Denmark	0	
Russia	England	0	
Russia	France	0	
Russia	Germany	0	
Russia	Iceland	0	
Russia	Poland	0	
Russia	Portugal	0	
Russia	Egypt	0	
Russia	Serbia	0	
Russia	Spain	1	
Russia	Sweden	0	
Russia	Switzerland	0	
Russia	Costa Rica	0	
Russia	Mexico	0	
Russia	Panama	0	
Russia	Argentina	0	
Russia	Brazil	0	
Russia	Colombia	0	
Russia	Peru	0	
Russia	Uruguay	0	
Russia	Italy	0	
Russia	Netherlands	0	
Russia	Ukraine	0	
Serbia	Serbia	1	1
Serbia	Morocco	0	
Serbia	Nigeria	0	
Serbia	Senegal	0	
Serbia	Tunisia	0	
Serbia	Australia	0	
Serbia	Iran	0	
Serbia	Japan	0	
Serbia	South Korea	0	
Serbia	Saudi Arabia	0	
Serbia	Belgium	1	
Serbia	Croatia	0	
Serbia	Denmark	0	
Serbia	England	4	
Serbia	France	0	
Serbia	Germany	4	
Serbia	Iceland	0	
Serbia	Poland	0	
Serbia	Portugal	1	
Serbia	Russia	2	
Serbia	Egypt	0	
Serbia	Spain	3	
Serbia	Sweden	0	
Serbia	Switzerland	0	
Serbia	Costa Rica	0	
Serbia	Mexico	0	
Serbia	Panama	0	
Serbia	Argentina	0	
Serbia	Brazil	0	
Serbia	Colombia	0	
Serbia	Peru	0	
Serbia	Uruguay	0	
Serbia	Italy	3	
Serbia	Netherlands	0	
Serbia	Ukraine	0	
Spain	Spain	16	81
Spain	Morocco	0	
Spain	Nigeria	0	
Spain	Senegal	0	
Spain	Tunisia	0	
Spain	Australia	0	
Spain	Iran	0	
Spain	Japan	0	
Spain	South Korea	0	
Spain	Saudi Arabia	0	
Spain	Belgium	0	
Spain	Croatia	0	
Spain	Denmark	0	
Spain	England	5	
Spain	France	0	
Spain	Germany	1	
Spain	Iceland	0	
Spain	Poland	0	
Spain	Portugal	0	
Spain	Russia	0	
Spain	Serbia	0	
Spain	Egypt	0	
Spain	Sweden	0	
Spain	Switzerland	0	
Spain	Costa Rica	0	
Spain	Mexico	0	
Spain	Panama	0	
Spain	Argentina	0	
Spain	Brazil	0	
Spain	Colombia	0	
Spain	Peru	0	
Spain	Uruguay	0	
Spain	Italy	1	
Spain	Netherlands	0	
Spain	Ukraine	0	
Sweden	Sweden	1	6
Sweden	Morocco	0	
Sweden	Nigeria	0	
Sweden	Senegal	0	
Sweden	Tunisia	0	
Sweden	Australia	0	
Sweden	Iran	0	
Sweden	Japan	0	
Sweden	South Korea	0	
Sweden	Saudi Arabia	0	
Sweden	Belgium	1	
Sweden	Croatia	0	
Sweden	Denmark	2	
Sweden	England	3	
Sweden	France	3	
Sweden	Germany	1	
Sweden	Iceland	0	
Sweden	Poland	0	
Sweden	Portugal	0	
Sweden	Russia	2	
Sweden	Serbia	0	
Sweden	Spain	1	
Sweden	Egypt	0	
Sweden	Switzerland	1	
Sweden	Costa Rica	0	
Sweden	Mexico	0	
Sweden	Panama	0	
Sweden	Argentina	0	
Sweden	Brazil	0	
Sweden	Colombia	0	
Sweden	Peru	0	
Sweden	Uruguay	0	
Sweden	Italy	2	
Sweden	Netherlands	0	
Sweden	Ukraine	0	
Switzerland	Switzerland	3	7
Switzerland	Morocco	0	
Switzerland	Nigeria	0	
Switzerland	Senegal	0	
Switzerland	Tunisia	0	
Switzerland	Australia	0	
Switzerland	Iran	0	
Switzerland	Japan	0	
Switzerland	South Korea	0	
Switzerland	Saudi Arabia	0	
Switzerland	Belgium	0	
Switzerland	Croatia	1	
Switzerland	Denmark	0	
Switzerland	England	1	
Switzerland	France	1	
Switzerland	Germany	0	
Switzerland	Iceland	0	
Switzerland	Poland	0	
Switzerland	Portugal	1	
Switzerland	Russia	0	
Switzerland	Serbia	0	
Switzerland	Spain	1	
Switzerland	Sweden	0	
Switzerland	Egypt	0	
Switzerland	Costa Rica	0	
Switzerland	Mexico	0	
Switzerland	Panama	0	
Switzerland	Argentina	0	
Switzerland	Brazil	0	
Switzerland	Colombia	0	
Switzerland	Peru	0	
Switzerland	Uruguay	0	
Switzerland	Italy	5	
Switzerland	Netherlands	0	
Switzerland	Ukraine	0	
Costa Rica	Costa Rica	7	8
Costa Rica	Morocco	0	
Costa Rica	Nigeria	0	
Costa Rica	Senegal	0	
Costa Rica	Tunisia	0	
Costa Rica	Australia	0	
Costa Rica	Iran	0	
Costa Rica	Japan	0	
Costa Rica	South Korea	0	
Costa Rica	Saudi Arabia	0	
Costa Rica	Belgium	0	
Costa Rica	Croatia	0	
Costa Rica	Denmark	0	
Costa Rica	England	1	
Costa Rica	France	0	
Costa Rica	Germany	0	
Costa Rica	Iceland	0	
Costa Rica	Poland	0	
Costa Rica	Portugal	1	
Costa Rica	Russia	0	
Costa Rica	Serbia	0	
Costa Rica	Spain	3	
Costa Rica	Sweden	1	
Costa Rica	Switzerland	1	
Costa Rica	Egypt	0	
Costa Rica	Mexico	0	
Costa Rica	Panama	0	
Costa Rica	Argentina	0	
Costa Rica	Brazil	0	
Costa Rica	Colombia	0	
Costa Rica	Peru	0	
Costa Rica	Uruguay	0	
Costa Rica	Italy	1	
Costa Rica	Netherlands	0	
Costa Rica	Ukraine	0	
Mexico	Mexico	12	24
Mexico	Morocco	0	
Mexico	Nigeria	0	
Mexico	Senegal	0	
Mexico	Tunisia	0	
Mexico	Australia	0	
Mexico	Iran	0	
Mexico	Japan	0	
Mexico	South Korea	0	
Mexico	Saudi Arabia	0	
Mexico	Belgium	2	
Mexico	Croatia	0	
Mexico	Denmark	0	
Mexico	England	1	
Mexico	France	0	
Mexico	Germany	2	
Mexico	Iceland	0	
Mexico	Poland	0	
Mexico	Portugal	3	
Mexico	Russia	0	
Mexico	Serbia	0	
Mexico	Spain	3	
Mexico	Sweden	0	
Mexico	Switzerland	0	
Mexico	Costa Rica	0	
Mexico	Egypt	0	
Mexico	Panama	0	
Mexico	Argentina	0	
Mexico	Brazil	0	
Mexico	Colombia	0	
Mexico	Peru	0	
Mexico	Uruguay	0	
Mexico	Italy	0	
Mexico	Netherlands	1	
Mexico	Ukraine	0	
Panama	Panama	3	3
Panama	Morocco	0	
Panama	Nigeria	0	
Panama	Senegal	0	
Panama	Tunisia	0	
Panama	Australia	0	
Panama	Iran	0	
Panama	Japan	0	
Panama	South Korea	0	
Panama	Saudi Arabia	0	
Panama	Belgium	1	
Panama	Croatia	0	
Panama	Denmark	0	
Panama	England	0	
Panama	France	0	
Panama	Germany	0	
Panama	Iceland	0	
Panama	Poland	0	
Panama	Portugal	0	
Panama	Russia	0	
Panama	Serbia	0	
Panama	Spain	0	
Panama	Sweden	0	
Panama	Switzerland	0	
Panama	Costa Rica	1	
Panama	Mexico	2	
Panama	Egypt	0	
Panama	Argentina	0	
Panama	Brazil	0	
Panama	Colombia	1	
Panama	Peru	3	
Panama	Uruguay	0	
Panama	Italy	0	
Panama	Netherlands	0	
Panama	Ukraine	0	
Argentina	Argentina	0	8
Argentina	Morocco	0	
Argentina	Nigeria	0	
Argentina	Senegal	0	
Argentina	Tunisia	0	
Argentina	Australia	0	
Argentina	Iran	0	
Argentina	Japan	0	
Argentina	South Korea	0	
Argentina	Saudi Arabia	0	
Argentina	Belgium	0	
Argentina	Croatia	0	
Argentina	Denmark	0	
Argentina	England	6	
Argentina	France	2	
Argentina	Germany	0	
Argentina	Iceland	0	
Argentina	Poland	0	
Argentina	Portugal	2	
Argentina	Russia	1	
Argentina	Serbia	0	
Argentina	Spain	4	
Argentina	Sweden	0	
Argentina	Switzerland	0	
Argentina	Costa Rica	0	
Argentina	Mexico	1	
Argentina	Panama	0	
Argentina	Egypt	0	
Argentina	Brazil	0	
Argentina	Colombia	0	
Argentina	Peru	0	
Argentina	Uruguay	0	
Argentina	Italy	5	
Argentina	Netherlands	1	
Argentina	Ukraine	0	
Brazil	Brazil	3	8
Brazil	Morocco	0	
Brazil	Nigeria	0	
Brazil	Senegal	0	
Brazil	Tunisia	0	
Brazil	Australia	0	
Brazil	Iran	0	
Brazil	Japan	0	
Brazil	South Korea	0	
Brazil	Saudi Arabia	0	
Brazil	Belgium	0	
Brazil	Croatia	0	
Brazil	Denmark	0	
Brazil	England	5	
Brazil	France	4	
Brazil	Germany	0	
Brazil	Iceland	0	
Brazil	Poland	0	
Brazil	Portugal	0	
Brazil	Russia	0	
Brazil	Serbia	0	
Brazil	Spain	6	
Brazil	Sweden	0	
Brazil	Switzerland	0	
Brazil	Costa Rica	0	
Brazil	Mexico	0	
Brazil	Panama	0	
Brazil	Argentina	0	
Brazil	Egypt	0	
Brazil	Colombia	0	
Brazil	Peru	0	
Brazil	Uruguay	0	
Brazil	Italy	4	
Brazil	Netherlands	0	
Brazil	Ukraine	2	
Colombia	Colombia	4	6
Colombia	Morocco	0	
Colombia	Nigeria	0	
Colombia	Senegal	0	
Colombia	Tunisia	0	
Colombia	Australia	0	
Colombia	Iran	0	
Colombia	Japan	0	
Colombia	South Korea	0	
Colombia	Saudi Arabia	0	
Colombia	Belgium	0	
Colombia	Croatia	0	
Colombia	Denmark	0	
Colombia	England	3	
Colombia	France	1	
Colombia	Germany	1	
Colombia	Iceland	0	
Colombia	Poland	0	
Colombia	Portugal	0	
Colombia	Russia	0	
Colombia	Serbia	0	
Colombia	Spain	7	
Colombia	Sweden	0	
Colombia	Switzerland	0	
Colombia	Costa Rica	0	
Colombia	Mexico	2	
Colombia	Panama	0	
Colombia	Argentina	3	
Colombia	Brazil	1	
Colombia	Egypt	0	
Colombia	Peru	0	
Colombia	Uruguay	0	
Colombia	Italy	2	
Colombia	Netherlands	1	
Colombia	Ukraine	0	
Peru	Peru	7	10
Peru	Morocco	0	
Peru	Nigeria	0	
Peru	Senegal	0	
Peru	Tunisia	0	
Peru	Australia	0	
Peru	Iran	0	
Peru	Japan	0	
Peru	South Korea	0	
Peru	Saudi Arabia	0	
Peru	Belgium	1	
Peru	Croatia	0	
Peru	Denmark	1	
Peru	England	0	
Peru	France	0	
Peru	Germany	0	
Peru	Iceland	0	
Peru	Poland	0	
Peru	Portugal	1	
Peru	Russia	1	
Peru	Serbia	0	
Peru	Spain	1	
Peru	Sweden	0	
Peru	Switzerland	0	
Peru	Costa Rica	0	
Peru	Mexico	5	
Peru	Panama	0	
Peru	Argentina	2	
Peru	Brazil	2	
Peru	Colombia	1	
Peru	Egypt	0	
Peru	Uruguay	0	
Peru	Italy	0	
Peru	Netherlands	1	
Peru	Ukraine	0	
Uruguay	Uruguay	2	2
Uruguay	Morocco	0	
Uruguay	Nigeria	0	
Uruguay	Senegal	0	
Uruguay	Tunisia	0	
Uruguay	Australia	0	
Uruguay	Iran	0	
Uruguay	Japan	0	
Uruguay	South Korea	0	
Uruguay	Saudi Arabia	0	
Uruguay	Belgium	0	
Uruguay	Croatia	0	
Uruguay	Denmark	0	
Uruguay	England	0	
Uruguay	France	1	
Uruguay	Germany	0	
Uruguay	Iceland	0	
Uruguay	Poland	0	
Uruguay	Portugal	2	
Uruguay	Russia	0	
Uruguay	Serbia	0	
Uruguay	Spain	5	
Uruguay	Sweden	0	
Uruguay	Switzerland	0	
