has,prefers,count
Poland,Serbia,0
Portugal,Serbia,1
Russia,Serbia,2
Egypt,Serbia,0
Spain,Serbia,3
Sweden,Serbia,0
Switzerland,Serbia,0
Costa Rica,Serbia,0
Mexico,Serbia,0
Panama,Serbia,0
Argentina,Serbia,0
Brazil,Serbia,0
Colombia,Serbia,0
Peru,Serbia,0
Uruguay,Serbia,0
Italy,Serbia,3
Netherlands,Serbia,0
Ukraine,Serbia,0
USA,Serbia,0
Spain,Spain,16
Morocco,Spain,0
Nigeria,Spain,0
Senegal,Spain,0
Tunisia,Spain,0
Australia,Spain,0
Iran,Spain,0
Japan,Spain,0
South Korea,Spain,0
Saudi Arabia,Spain,0
Belgium,Spain,0
Croatia,Spain,0
Denmark,Spain,0
England,Spain,5
France,Spain,0
Germany,Spain,1
Iceland,Spain,0
Poland,Spain,0
Portugal,Spain,0
Russia,Spain,0
Serbia,Spain,0
Egypt,Spain,0
Sweden,Spain,0
Switzerland,Spain,0
Costa Rica,Spain,0
Mexico,Spain,0
Panama,Spain,0
Argentina,Spain,0
Brazil,Spain,0
Colombia,Spain,0
Peru,Spain,0
Uruguay,Spain,0
Italy,Spain,1
Netherlands,Spain,0
Ukraine,Spain,0
USA,Spain,0
Sweden,Sweden,1
Morocco,Sweden,0
Nigeria,Sweden,0
Senegal,Sweden,0
Tunisia,Sweden,0
Australia,Sweden,0
Iran,Sweden,0
Japan,Sweden,0
South Korea,Sweden,0
Saudi Arabia,Sweden,0
Belgium,Sweden,1
Croatia,Sweden,0
Denmark,Sweden,2
England,Sweden,3
France,Sweden,3
Germany,Sweden,1
Iceland,Sweden,0
Poland,Sweden,0
Portugal,Sweden,0
Russia,Sweden,2
Serbia,Sweden,0
Spain,Sweden,1
Egypt,Sweden,0
Switzerland,Sweden,1
Costa Rica,Sweden,0
Mexico,Sweden,0
Panama,Sweden,0
Argentina,Sweden,0
Brazil,Sweden,0
Colombia,Sweden,0
Peru,Sweden,0
Uruguay,Sweden,0
Italy,Sweden,2
Netherlands,Sweden,0
Ukraine,Sweden,0
USA,Sweden,1
Switzerland,Switzerland,3
Morocco,Switzerland,0
Nigeria,Switzerland,0
Senegal,Switzerland,0
Tunisia,Switzerland,0
Australia,Switzerland,0
Iran,Switzerland,0
Japan,Switzerland,0
South Korea,Switzerland,0
Saudi Arabia,Switzerland,0
Belgium,Switzerland,0
Croatia,Switzerland,1
Denmark,Switzerland,0
England,Switzerland,1
France,Switzerland,1
Germany,Switzerland,0
Iceland,Switzerland,0
Poland,Switzerland,0
Portugal,Switzerland,1
Russia,Switzerland,0
Serbia,Switzerland,0
Spain,Switzerland,1
Sweden,Switzerland,0
Egypt,Switzerland,0
Costa Rica,Switzerland,0
Mexico,Switzerland,0
Panama,Switzerland,0
Argentina,Switzerland,0
Brazil,Switzerland,0
Colombia,Switzerland,0
Peru,Switzerland,0
Uruguay,Switzerland,0
Italy,Switzerland,5
Netherlands,Switzerland,0
Ukraine,Switzerland,0
USA,Switzerland,0
Costa Rica,Costa Rica,7
Morocco,Costa Rica,0
Nigeria,Costa Rica,0
Senegal,Costa Rica,0
Tunisia,Costa Rica,0
Australia,Costa Rica,0
Iran,Costa Rica,0
Japan,Costa Rica,0
South Korea,Costa Rica,0
Saudi Arabia,Costa Rica,0
Belgium,Costa Rica,0
Croatia,Costa Rica,0
Denmark,Costa Rica,0
England,Costa Rica,1
France,Costa Rica,0
Germany,Costa Rica,0
Iceland,Costa Rica,0
Poland,Costa Rica,0
Portugal,Costa Rica,1
Russia,Costa Rica,0
Serbia,Costa Rica,0
Spain,Costa Rica,3
Sweden,Costa Rica,1
Switzerland,Costa Rica,1
Egypt,Costa Rica,0
Mexico,Costa Rica,0
Panama,Costa Rica,0
Argentina,Costa Rica,0
Brazil,Costa Rica,0
Colombia,Costa Rica,0
Peru,Costa Rica,0
Uruguay,Costa Rica,0
Italy,Costa Rica,1
Netherlands,Costa Rica,0
Ukraine,Costa Rica,0
USA,Costa Rica,5
Mexico,Mexico,12
Morocco,Mexico,0
Nigeria,Mexico,0
Senegal,Mexico,0
Tunisia,Mexico,0
Australia,Mexico,0
Iran,Mexico,0
Japan,Mexico,0
South Korea,Mexico,0
Saudi Arabia,Mexico,0
Belgium,Mexico,2
Croatia,Mexico,0
Denmark,Mexico,0
England,Mexico,1
France,Mexico,0
Germany,Mexico,2
Iceland,Mexico,0
Poland,Mexico,0
Portugal,Mexico,3
Russia,Mexico,0
Serbia,Mexico,0
Spain,Mexico,3
Sweden,Mexico,0
Switzerland,Mexico,0
Costa Rica,Mexico,0
Egypt,Mexico,0
Panama,Mexico,0
Argentina,Mexico,0
Brazil,Mexico,0
Colombia,Mexico,0
Peru,Mexico,0
Uruguay,Mexico,0
Italy,Mexico,0
Netherlands,Mexico,1
Ukraine,Mexico,0
USA,Mexico,1
Panama,Panama,3
Morocco,Panama,0
Nigeria,Panama,0
Senegal,Panama,0
Tunisia,Panama,0
Australia,Panama,0
Iran,Panama,0
Japan,Panama,0
South Korea,Panama,0
Saudi Arabia,Panama,0
Belgium,Panama,1
Croatia,Panama,0
Denmark,Panama,0
England,Panama,0
France,Panama,0
Germany,Panama,0
Iceland,Panama,0
Poland,Panama,0
Portugal,Panama,0
Russia,Panama,0
Serbia,Panama,0
Spain,Panama,0
Sweden,Panama,0
Switzerland,Panama,0
Costa Rica,Panama,1
Mexico,Panama,2
Egypt,Panama,0
Argentina,Panama,0
Brazil,Panama,0
Colombia,Panama,1
Peru,Panama,3
Uruguay,Panama,0
Italy,Panama,0
Netherlands,Panama,0
Ukraine,Panama,0
USA,Panama,6
Argentina,Argentina,0
Morocco,Argentina,0
Nigeria,Argentina,0
Senegal,Argentina,0
Tunisia,Argentina,0
Australia,Argentina,0
Iran,Argentina,0
Japan,Argentina,0
South Korea,Argentina,0
Saudi Arabia,Argentina,0
Belgium,Argentina,0
Croatia,Argentina,0
Denmark,Argentina,0
England,Argentina,6
France,Argentina,2
Germany,Argentina,0
Iceland,Argentina,0
Poland,Argentina,0
Portugal,Argentina,2
Russia,Argentina,1
Serbia,Argentina,0
Spain,Argentina,4
Sweden,Argentina,0
Switzerland,Argentina,0
Costa Rica,Argentina,0
Mexico,Argentina,1
Panama,Argentina,0
Egypt,Argentina,0
Brazil,Argentina,0
Colombia,Argentina,0
Peru,Argentina,0
Uruguay,Argentina,0
Italy,Argentina,5
Netherlands,Argentina,1
Ukraine,Argentina,0
USA,Argentina,0
Brazil,Brazil,3
Morocco,Brazil,0
Nigeria,Brazil,0
Senegal,Brazil,0
Tunisia,Brazil,0
Australia,Brazil,0
Iran,Brazil,0
Japan,Brazil,0
South Korea,Brazil,0
Saudi Arabia,Brazil,0
Belgium,Brazil,0
Croatia,Brazil,0
Denmark,Brazil,0
England,Brazil,5
France,Brazil,4
Germany,Brazil,0
Iceland,Brazil,0
Poland,Brazil,0
Portugal,Brazil,0
Russia,Brazil,0
Serbia,Brazil,0
Spain,Brazil,6
Sweden,Brazil,0
Switzerland,Brazil,0
Costa Rica,Brazil,0
Mexico,Brazil,0
Panama,Brazil,0
Argentina,Brazil,0
Egypt,Brazil,0
Colombia,Brazil,0
Peru,Brazil,0
Uruguay,Brazil,0
Italy,Brazil,4
Netherlands,Brazil,0
Ukraine,Brazil,2
USA,Brazil,0
Colombia,Colombia,4
Morocco,Colombia,0
Nigeria,Colombia,0
Senegal,Colombia,0
Tunisia,Colombia,0
Australia,Colombia,0
Iran,Colombia,0
Japan,Colombia,0
South Korea,Colombia,0
Saudi Arabia,Colombia,0
Belgium,Colombia,0
Croatia,Colombia,0
Denmark,Colombia,0
England,Colombia,3
France,Colombia,1
Germany,Colombia,1
Iceland,Colombia,0
Poland,Colombia,0
Portugal,Colombia,0
Russia,Colombia,0
Serbia,Colombia,0
Spain,Colombia,7
Sweden,Colombia,0
Switzerland,Colombia,0
Costa Rica,Colombia,0
Mexico,Colombia,2
Panama,Colombia,0
Argentina,Colombia,3
Brazil,Colombia,1
Egypt,Colombia,0
Peru,Colombia,0
Uruguay,Colombia,0
Italy,Colombia,2
Netherlands,Colombia,1
Ukraine,Colombia,0
USA,Colombia,0
Peru,Peru,7
Morocco,Peru,0
Nigeria,Peru,0
Senegal,Peru,0
Tunisia,Peru,0
Australia,Peru,0
Iran,Peru,0
Japan,Peru,0
South Korea,Peru,0
Saudi Arabia,Peru,0
Belgium,Peru,1
Croatia,Peru,0
Denmark,Peru,1
England,Peru,0
France,Peru,0
Germany,Peru,0
Iceland,Peru,0
Poland,Peru,0
Portugal,Peru,1
Russia,Peru,1
Serbia,Peru,0
Spain,Peru,1
Sweden,Peru,0
Switzerland,Peru,0
Costa Rica,Peru,0
Mexico,Peru,5
Panama,Peru,0
Argentina,Peru,2
Brazil,Peru,2
Colombia,Peru,1
Egypt,Peru,0
Uruguay,Peru,0
Italy,Peru,0
Netherlands,Peru,1
Ukraine,Peru,0
USA,Peru,2
Uruguay,Uruguay,2
Morocco,Uruguay,0
Nigeria,Uruguay,0
Senegal,Uruguay,0
Tunisia,Uruguay,0
Australia,Uruguay,0
Iran,Uruguay,0
Japan,Uruguay,0
South Korea,Uruguay,0
Saudi Arabia,Uruguay,0
Belgium,Uruguay,0
Croatia,Uruguay,0
Denmark,Uruguay,0
England,Uruguay,0
France,Uruguay,1
Germany,Uruguay,0
Iceland,Uruguay,0
Poland,Uruguay,0
Portugal,Uruguay,2
Russia,Uruguay,0
Serbia,Uruguay,0
Spain,Uruguay,5
Sweden,Uruguay,0
Switzerland,Uruguay,0
Costa Rica,Uruguay,0
Mexico,Uruguay,1
Panama,Uruguay,0
Argentina,Uruguay,3
Brazil,Uruguay,2
Colombia,Uruguay,0
Peru,Uruguay,0
Egypt,Uruguay,0
Italy,Uruguay,5
Netherlands,Uruguay,0
Ukraine,Uruguay,0
USA,Uruguay,0
